time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	1	1	1	lidar	1.30433e-321	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.714086	0.637071	3.85752	0.812082	0.986272	radar	1.29445e-321	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.892993	0.682006	3.92077	-0.1827	0.859034	lidar	1.30433e-321	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.13321	0.495522	4.62612	-0.253971	0.966793	radar	1.29445e-321	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.44474	0.503384	4.79494	-0.206754	1.00382	lidar	1.30433e-321	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.70328	0.520149	5.2421	0.0168395	1.43994	radar	1.29445e-321	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.01988	0.553828	5.34471	0.0847701	1.48429	lidar	1.30433e-321	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.23476	0.617417	5.18526	0.220281	1.64216	radar	1.29445e-321	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.52174	0.675194	5.24826	0.27452	1.56824	lidar	1.30433e-321	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.79894	0.674705	5.27376	0.22975	1.14114	radar	1.29445e-321	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.04613	0.711957	5.25722	0.247362	0.999786	lidar	1.30433e-321	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.34527	0.602062	5.24291	0.05577	0.251215	radar	1.29445e-321	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.66281	0.511242	5.28707	-0.0713985	-0.138605	lidar	1.30433e-321	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.94196	0.584962	5.35374	0.0313673	0.169561	radar	1.29445e-321	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.22547	0.587302	5.37687	0.0309541	0.151859	lidar	1.30433e-321	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.48453	0.622835	5.33672	0.0629796	0.20767	radar	1.29445e-321	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.67873	0.740029	5.24455	0.167535	0.402214	lidar	1.30433e-321	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.9327	0.737404	5.18262	0.149752	0.331611	radar	1.29445e-321	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.24378	0.724734	5.24962	0.119155	0.244368	lidar	1.30433e-321	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.50387	0.730801	5.27376	0.110544	0.204593	radar	1.29445e-321	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.8065	0.736514	5.32405	0.0997737	0.169108	lidar	1.30433e-321	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.05361	0.662922	5.23709	0.0390112	0.0506758	radar	1.29445e-321	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.31312	0.770603	5.2443	0.107093	0.159689	lidar	1.30433e-321	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.56378	0.805861	5.20413	0.120015	0.168018	radar	1.29445e-321	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.81799	0.795179	5.19534	0.101484	0.125107	lidar	1.30433e-321	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.06307	0.780287	5.10579	0.0827645	0.0859838	radar	1.29445e-321	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.28651	0.859939	5.07342	0.124215	0.143265	lidar	1.30433e-321	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.57844	0.873417	5.17264	0.116855	0.120145	radar	1.29445e-321	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83424	0.840351	5.16396	0.0849287	0.0620197	lidar	1.30433e-321	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
